news_headline,news_article,news_category
"Gmail down across globe, hundreds of users affected","Gmail services are down for hundreds of users across the world. Downdetector.com reported a spike in Gmail outage status over the past hour. Users complained of undelivered emails and an unresponsive Gmail app. A social media user tweeted to Google and Gmail, asking, ""Are you aware of an issue with Gmail? Haven't received email at all today? Please advise.""",technology
Can't remove sexually explicit video until we're given users' numbers: WhatsApp to HC,"WhatsApp has told the Delhi High Court it cannot stop the circulation of a sexually explicit video without being provided the users' phone numbers. The video purportedly shows a judicial officer in a compromising position with a woman. ""They are expecting us to do something which we cannot do,"" advocate Kapil Sibal, appearing for WhatsApp, said about removing the video.",technology
"Twitter didn't work on child safety for years, says Musk; ex-CEO Dorsey replies","Twitter CEO Elon Musk and its Co-founder Jack Dorsey engaged in an argument about the platform taking action against child sexual exploitation on Twitter. Musk accused Twitter of not taking any action on child exploitation for years, whereas Dorsey called the allegations false and untrue. ""Earlier this year...no one was working on child safety...I made it top priority,"" Musk claimed.",technology
I'll try to start a new venture to earn money to pay investors: FTX's ex-CEO,"Sam Bankman-Fried, Co-founder and former CEO of bankrupt cryptocurrency exchange FTX, has said that he will try to start a new business venture to earn the money to pay his investors back. ""I would give anything to be able to do that,"" he told BBC. FTX filed for bankruptcy following its collapse after it was found to be financially unstable.",technology
"3 members of Twitter's Trust & Safety Council quit, say 'Red lines were crossed'","Three members of Twitter's Trust & Safety Council resigned this week, stating that the safety and wellbeing of Twitter users are on a decline under Elon Musk's leadership. ""Should Musk be allowed to define digital safety as he has freedom of expression? Our answer is a categorical no,"" the members said. ""Red lines have been crossed,"" one of them wrote.",technology
"FTX ex-CEO 'secretly' loaned $43 mn to crypto news site, its CEO: Report","Bankrupt crypto exchange FTX's ex-CEO Sam Bankman-Fried ""secretly"" funded The Block, an independent crypto news website, for over a year, Axios reported. Bankman-Fried funnelled three loans totalling $43 million to Block's CEO Michael McCaffrey, part of which McCaffrey used to purchase an apartment in the Bahamas. McCaffrey has resigned as the CEO following the report, Block told Axios.",technology
"Binance CEO claims he initiated FTX exit 1.5 yrs ago, ex-FTX CEO says 'stop lying'","Bankrupt crypto exchange FTX's ex-CEO Sam Bankman-Fried told Binance CEO Changpeng Zhao to ""stop lying"" after Zhao said Binance decided to exit FTX as an investor 1.5 years ago after which Bankman-Fried became ""unhinged"" and launched into ""offensive tirades"". ""You won, there's no need to lie now,"" Bankman-Fried said, adding, ""We initiated conversations around buying you out.""",technology
Microsoft buys UK's Lumenisity that makes hollow core fibre cable,"Microsoft has acquired UK-based startup Lumenisity that develops ""hollow core fibre"" technologies for data centres and internet service providers. Before the acquisition, the startup had raised $15.35 million in funding across several rounds from investors including Business Growth Fund. Lumenisity was launched as a spinoff from the University of Southampton’s Optoelectronics Research Centre.",technology
Apple spent $100 bn on product innovation in last 5 years: Report,"Apple spent roughly $100 billion on research and development (R&D) over the last five years, according to a report by Finbold. The company's R&D spending increased from $14.24 billion in 2018 to $26.25 billion in 2022, showing an 84.33% jump. The spending reached $21.91 billion last year, crossing the $20 billion mark for the first time, the report noted.",technology
Big Tech hirings in India down by 95% from usual volume: Report,"Hiring by the biggest tech companies such as Google, Facebook, Apple, Microsoft, Amazon, and Netflix are down by nearly 95% compared to typical active hiring volume in India, specialist staffing firm Xpheno said. There are active job postings of less than 2,000 jobs at present, the agency added. The active openings fell from 9,000 in July-August to 4,000 in mid-October.",technology
